,cv,std,mean,stability_score
230,6.841065057196223e-06,1.7079423596427842e-05,2.496603007518797,0.9999931589817428
278,2.5493481611174984e-05,8.008842419456996e-05,3.1415255639097746,0.99997450716829
282,2.648517272962913e-05,8.320424546797009e-05,3.14154060150376,0.9999735155287162
273,2.6511106814648473e-05,8.328573838218421e-05,3.141541353383459,0.9999734895960054
281,2.6631904529754157e-05,8.366498911172252e-05,3.1415323308270677,0.9999733688047098
272,2.8626374698086428e-05,8.993059553404848e-05,3.1415293233082715,0.9999713744447478
274,2.8696276327409858e-05,9.015034458534836e-05,3.141534586466166,0.9999713045471252
276,3.0112676720162463e-05,9.459949466192765e-05,3.141517293233083,0.9999698882300259
275,3.026816542702656e-05,9.508826097769221e-05,3.1415270676691733,0.9999697327507071
279,3.192412499143794e-05,0.00010029071880016967,3.1415338345864665,0.9999680768941257
277,3.315645465991507e-05,0.00010416180006340825,3.141524060150376,0.9999668446446542
280,3.911528257114607e-05,0.00012288116016703264,3.141512781954888,0.9999608862473743
270,5.688340063593733e-05,0.00017869762062725316,3.1414721804511285,0.9999431198349011
271,6.423075871337507e-05,0.0002017813148484962,3.141506015037595,0.9999357733666121
552,0.006070037193739699,28.08625720377196,4627.032142857143,0.9939665858545286
522,0.008582506187450397,37.21784873239434,4336.477937739843,0.991490526422183
542,0.00912087613723476,40.08976524647033,4395.3853383458645,0.9909615623331982
547,0.010749464427013126,44.39733896822463,4130.190789473684,0.9893648576572761
521,0.011404030591673005,39.214587667794724,3438.6603361471543,0.9887245549288531
536,0.011561459722392258,54.60520021737472,4723.036842105263,0.9885706799015799
551,0.01274073315501827,48.00065947428896,3767.495864661654,0.9874195509888037
541,0.01424875799070342,49.60583497919641,3481.4146616541357,0.9859514168704223
520,0.015327476394152582,38.64648003614906,2521.3857155828114,0.9849039085905693
546,0.016555109502184844,52.37906259444642,3163.921240601504,0.9837144987542368
379,0.017145797053949568,0.008528994650965868,0.49743937969924806,0.9831432257758815
535,0.018839912850624637,79.05884704269667,4196.348872180451,0.9815084660376994
231,0.019781617032813163,0.01899276332903524,0.9601218796992482,0.980602104703191
550,0.020309222784495512,57.4894963596562,2830.7088345864663,0.9800950316521984
519,0.021477455078548324,34.143495573084266,1589.736560882708,0.9789741271608419
540,0.02253858036769282,57.26137323860165,2540.593609022557,0.9779582102813293
545,0.024318255179340196,54.48118357820612,2240.340977443609,0.9762590825103644
549,0.02482950290615176,46.3925680250044,1868.4453007518798,0.9757720646841823
305,0.029279753593751907,0.016228895628864568,0.5542702255639098,0.9715531627902706
539,0.029795002128757193,47.34988134916233,1589.188721804511,0.9710670550282668
534,0.02980452674627685,104.2287382018466,3497.077443609023,0.9710580736710822
269,0.036720624105281686,0.11467837103333568,3.122996240601504,0.964580019677941
452,0.04242479369494761,0.07514477228964088,1.7712466165413532,0.9593018182687598
544,0.04274279701297413,55.66178330706453,1302.2494360902256,0.9590092617897582
9,0.0432793886234392,0.025280400709199943,0.5841210218831191,0.9585160129727622
8,0.04908088188990619,0.06892993244222077,1.4044151161920477,0.9532153499914252
450,0.05677716107400794,0.007270807473106699,0.1280586654135338,0.946273289047707
75,0.05810444340469301,0.02748121558572218,0.4729623756021138,0.9450862873066398
82,0.06152642132750734,0.0329463507575333,0.5354829688884178,0.9420396703356997
234,0.06291801656398611,0.26148387075181156,4.155945864661654,0.940806331642231
533,0.06418108218177832,166.15502570871206,2588.847368421052,0.9396896982511711
304,0.06460751079306573,0.08894843906142902,1.376750751879699,0.9393133054782441
6,0.06948408621866564,0.007184940179326207,0.10340411121929821,0.9350302757057958
524,0.07009161577139053,30.450329774955982,434.43612249248457,0.9344994253404518
518,0.07301108245758005,44.872085167871575,614.5927941000268,0.9319568235116841
453,0.08202503882359374,0.05350873342088396,0.6523463345864662,0.9241930307705508
80,0.08207494867616477,0.0028826480134942285,0.03512214213947322,0.9241504030967752
302,0.08584581624392686,0.0088510605926164,0.10310415789473684,0.920941062755228
548,0.08790909352792452,67.31839111001113,765.7727819548873,0.919194449195338
538,0.08812749985602247,50.97208452010826,578.3902255639098,0.9190099507018404
236,0.09064433361008381,0.16551532640659575,1.8259864661654135,0.9168891903467313
132,0.09076542432065494,0.1683916936715894,1.8552405272375234,0.9167874024085563
106,0.09084953857838089,0.0065630016327258055,0.07224034084734006,0.916716709898619
109,0.09125090330909982,0.005742481089769702,0.06293067664566389,0.9163795392678336
107,0.0928565247304243,0.006410823225753924,0.06904009432148635,0.9150331972869639
131,0.09291111845252996,0.17267705182161516,1.8585187079610834,0.914987489024648
108,0.09322556731544464,0.0061402480484332314,0.06586442137334121,0.914724307496419
134,0.09368516123895607,0.18112236938089937,1.9333090426019917,0.9143399174102107
525,0.09418785560436058,44.61440325167088,473.67468943209894,0.9139198492087659
130,0.09438914785182145,0.17373632822089283,1.8406388040883261,0.9137517508857812
125,0.0958006322480819,0.1835587540081736,1.9160495051101165,0.9125747609293281
12,0.09660421451961003,0.18931885008370572,1.959736964118426,0.9119060338812126
129,0.09717512627013881,0.178603516075831,1.8379550707176648,0.9114315263412078
126,0.09722149745130214,0.18292116607163347,1.8814888771205973,0.9113930070845908
133,0.09756828623661869,0.18685779271993966,1.9151488657572568,0.9111050424286908
127,0.09805980531322508,0.18143780535594098,1.8502770301897684,0.9106972089873983
128,0.09812834449995457,0.18067524719553002,1.8412136484745614,0.910640368230693
78,0.09859362804976947,0.5296915154306111,5.372472094882501,0.9102546878732644
103,0.09964049745928531,0.008442143567190344,0.084726027894832,0.9093881157619201
543,0.09969982460687969,41.22712372275234,413.5125,0.9093390556440979
104,0.10055974481998024,0.008004906201050722,0.0796034856232076,0.9086285453440522
105,0.10100457284261824,0.007664285230230882,0.07588057663659546,0.9082614411111476
102,0.10111044509680148,0.008850335872867727,0.08753137091221941,0.908174111373621
378,0.10154588272702943,0.1010278574770892,0.9948986090225562,0.9078151129977096
98,0.10309672520801898,0.011564281530440777,0.11216924210839332,0.9065388167220083
138,0.10368033107133529,0.019379671972165353,0.18691753558186014,0.9060594556662133
237,0.1036906961647888,0.1086119813454568,1.0474612030075188,0.9060509465875691
101,0.103766972962354,0.009620964687474814,0.0927170217345093,0.9059883331317133
382,0.10468357070282938,0.15648932501110202,1.4948795112781956,0.9052366003449958
136,0.10646815345270652,0.036477216352987916,0.34261152438593956,0.9037765767406181
99,0.1072531715382,0.011449930342199566,0.10675610033705607,0.903135819074509
91,0.10737090118905553,0.02250354325800605,0.20958698314716084,0.9030398025866812
96,0.10836677780953641,0.013569047898167529,0.12521409395429525,0.9022284139337868
100,0.10876501053451955,0.010909561648297674,0.10030396351439902,0.9019043625104246
124,0.11276017098701298,0.2118718572707745,1.878960056695698,0.8986662410041193
235,0.11340005368467558,0.2269950190405716,2.0017187969924812,0.898149768082559
458,0.11818660703185399,0.06424675942586255,0.5436043984962406,0.8943051130387155
95,0.11838088050413387,0.01610184507172383,0.13601727747887085,0.8941497636737396
376,0.11853711919868835,0.009398724848777946,0.0792892969924812,0.8940248676918228
93,0.12071320108389565,0.019867396272869844,0.16458345975815858,0.8922889451403374
94,0.1217943702366284,0.017878227846046542,0.1467902647003453,0.8914289699894488
523,0.12340969097529601,34.575601052418264,280.1692539635284,0.8901472081230161
308,0.12414691443627683,0.2251892946758327,1.8138936090225566,0.8895634433168974
139,0.12506617688239544,0.020879758348175733,0.16694968111010364,0.8888366040574084
238,0.1252899507401321,0.1392735338813471,1.1116097744360902,0.8886598510386361
226,0.12647447331290992,4.883884058105624,38.615571428571435,0.8877253978592571
92,0.12670449286763694,0.022984557268285626,0.18140285911010798,0.8875441664875637
254,0.12853679127974207,0.050459253253770486,0.3925666165413534,0.8861031449989473
456,0.1312446641272402,0.3264102163339788,2.487036090225564,0.8839820701134569
310,0.13163008901335105,0.049329939583622785,0.3747618796992481,0.8836809923213361
250,0.1324259257299162,0.0659784494943779,0.4982290977443608,0.8830599664657449
252,0.13408587350678722,0.05727946883317457,0.42718496240601495,0.8817674422729818
257,0.13597910930475846,0.04521060008546879,0.33248195488721805,0.8802978785516749
240,0.13736025972183386,0.1235942623606495,0.8997818045112782,0.8792288911558872
224,0.13811168980717967,0.04216788729577523,0.3053172932330827,0.8786483865827098
88,0.13823792133080712,0.04281116240647293,0.3096918847906043,0.8785509437524434
141,0.1398688298989757,0.016761997109766974,0.11984083317114907,0.877293925204208
256,0.1419769457762375,0.050385152140612684,0.35488263157894734,0.8756744203100079
526,0.1421435793579978,67.38985532572873,474.09707585879084,0.8755466633731838
81,0.14272920133692968,0.011696915065140439,0.08195180072176292,0.875097966193614
502,0.14399143263940298,0.325903707368709,2.2633548496240605,0.8741324204612375
86,0.14437593773490737,0.10760744004047122,0.7453280770238335,0.8738387159549383
245,0.144697591724962,0.07993728154844675,0.5524437593984962,0.8735931718813919
497,0.14536544654330022,0.33165232647262327,2.2815072932330827,0.8730837856319033
239,0.14547168095816612,0.14106783754218824,0.9697271428571427,0.8730028132720996
